Role,Skills,Links
Real Estate Research Intern,Market research; Excel; GIS (basic); Report writing,Market research: https://tinyurl.com/y7xrw6xx; Excel: https://www.linkedin.com/learning/excel-essential-training ; GIS (basic): https://alison.com/course/advanced-diploma-in-geographic-information-systems?utm_source=google&utm_medium=cpc&utm_campaign=Performance-Max_Tier-5_Tag-Caregiving&gad_source=1&gad_campaignid=22562790451&gbraid=0AAAAADt7cD1Qm-HYWmw_Zh_BCvnnFxFQ2&gclid=CjwKCAjwgeLHBhBuEiwAL5gNEWL9OgATpG-bcvYBHhxgwYJ2G2kc5LqVbjQp7QeBVDzuV4BJlEDmLBoC-CYQAvD_BwE ; Report writing: https://www.mygreatlearning.com/academy/learn-for-free/courses/writing-powerful-business-reports
Project Management Intern (Housing),Project Management basics; AutoCAD basics; Construction planning basics,Project Management basics:https://tinyurl.com/mr2csxwe  ; AutoCAD basics:https://tinyurl.com/55a7xx87  ; Construction planning basics:https://www.coursera.org/learn/construction-project-management
Sustainability / Green Building Intern,Sustainability fundamentals; Energy efficiency basics; Report writing; Excel,Sustainability fundamentals:https://onlinecourses.swayam2.ac.in/nou25_ge78/preview?utm_source=chatgpt.com ; Energy efficiency basics: https://www.indepthresearch.org/course/energy-efficiency-and-sustainability-training-course?utm_source=chatgpt.com ; Report writing:https://www.mygreatlearning.com/academy/learn-for-free/courses/writing-powerful-business-reports ; Excel: https://www.linkedin.com/learning/excel-essential-training
Site Engineering Intern,AutoCAD; Construction materials basics; HSE / Safety basics; Report writing,AutoCAD:https://tinyurl.com/55a7xx87  ; Construction materials basics: https://onlinecourses.nptel.ac.in/noc21_ce10/preview ; HSE / Safety basics: https://www.coursera.org/courses?query=safety; Report writing: https://www.mygreatlearning.com/academy/learn-for-free/courses/writing-powerful-business-reports
Estimating Intern,Quantity surveying basics; Excel (estimation templates); Project scheduling basics (CPM/PERT),Quantity surveying basics:  ; Excel (estimation templates): https://www.linkedin.com/learning/excel-essential-training ; Project scheduling basics (CPM/PERT): 
Planning & Scheduling Intern,Project Management; MS Project / Excel scheduling; Communication,Project Management: https://tinyurl.com/4v657896 ; MS Project / Excel scheduling: https://www.linkedin.com/learning/excel-essential-training ; Communication: https://tinyurl.com/yzu9twy4
Software Engineering Intern,HTML/CSS; JavaScript basics; Git & GitHub; Data structures basics; React (optional),HTML/CSS: https://www.coursera.org/learn/html-css-javascript-for-web-developers?utm_source=chatgpt.com ; Git & GitHub: https://www.coursera.org/learn/introduction-git-github?utm_source=chatgpt.com ; Data structures basics: https://www.coursera.org/learn/data-structures?utm_source=chatgpt.com ; React (optional):https://tinyurl.com/3bjsmf54
Data Science Intern,Python; SQL; Statistics basics; Machine Learning foundations; Data Visualization (Tableau),Python: https://www.coursera.org/specializations/python ; SQL: https://www.coursera.org/learn/sql-for-data-science ; Statistics basics: https://www.coursera.org/learn/basic-statistics?utm_source=chatgpt.com ; Machine Learning foundations: https://www.coursera.org/learn/foundations-of-machine-learning ; Data Visualization (Tableau): https://www.mygreatlearning.com/academy/learn-for-free/courses/data-visualization-using-tableau
QA / Testing Intern,Software testing basics; Selenium / automation basics; Bug reporting; Git & GitHub,Software testing basics:https://www.mygreatlearning.com/academy/learn-for-free/courses/software-testing-fundamentals1?utm_source=chatgpt.com ; Selenium / automation basics: https://tinyurl.com/3ycw2edu ; Git & GitHub: https://www.coursera.org/learn/introduction-git-github?utm_source=chatgpt.com
Leather Tech Intern,Leather processing basics; Materials science basics; Quality control basics; HSE / Safety basics,Leather processing basics: https://leatherpanel.org/e-learning?utm_source=chatgpt.com ; Materials science basics: https://www.coursera.org/courses?query=material%20science ; Quality control basics: https://www.coursera.org/courses?query=quality%20control ; HSE / Safety basics: https://www.coursera.org/courses?query=safety
Product Development Intern,Sketching & design basics; CAD basics; Materials sourcing basics,Sketching & design basics:https://www.udemy.com/topic/sketching/?srsltid=AfmBOorcLPJZkN5WpDl622GO1qsPryIKMDsoOEpML55F5ETwpXxWE8Mp ; CAD basics: https://tinyurl.com/yc6xjbus; Materials sourcing basics: https://www.coursera.org/learn/sourcing
Quality Inspection Intern,Quality control methods; Testing procedures; Report writing; Excel,Quality control methods: https://www.coursera.org/courses?query=quality%20control; Report writing: https://www.mygreatlearning.com/academy/learn-for-free/courses/writing-powerful-business-reports ; Excel: https://www.linkedin.com/learning/excel-essential-training
Process Improvement Intern,Lean / Six Sigma; Process mapping; Excel; Data analysis,Lean / Six Sigma: https://www.coursera.org/specializations/six-sigma-green-belt ; Process mapping: https://www.udemy.com/topic/process-mapping/?srsltid=AfmBOoqAW_CratCaZKAmRG9_c9GQETTeoPnBpg6bkvE9DCOekrQGLw-G ; Excel: https://www.linkedin.com/learning/excel-essential-training ; Data analysis: https://tinyurl.com/237w6je9
Maintenance Engineering Intern,Mechanical fundamentals; Preventive maintenance basics; HSE / Safety basics,Mechanical fundamentals: https://www.coursera.org/browse/physical-science-and-engineering/mechanical-engineering ; Preventive maintenance basics: https://www.udemy.com/course/preventive-maintenance-basics/?srsltid=AfmBOooHyuptkQib2obtjGyEOJmSo6oxvEJ3A3Y9N1vjHBUpJraMq_kZ ; HSE / Safety basics: https://www.coursera.org/courses?query=safety
Production Planning Intern,Inventory management; ERP basics; Excel; Supply Chain basics,Inventory management:  https://tinyurl.com/bdfjebpp; ERP basics:https://tinyurl.com/34r66skb  ; Excel: https://www.linkedin.com/learning/excel-essential-training ; Supply Chain basics: https://tinyurl.com/4p9k4kp9
Content Creator Intern,YouTube Creator Academy; Video editing (Adobe Premiere); Storyboarding; Social media strategy,YouTube Creator Academy: https://www.youtube.com/creators/ ; Video editing (Adobe Premiere):https://tinyurl.com/y45a99pu ; Storyboarding:https://www.udemy.com/topic/storyboarding/?srsltid=AfmBOorVDFup34ugCdKppkBqfkarabwoofEkj-JaYWex2bJQnR1RVRfr ; Social media strategy:https://www.coursera.org/courses?query=social%20media%20marketing 
Instructional Designer Intern,Instructional design basics; Figma / UI for learning; Course authoring basics; PowerPoint,Instructional design basics: https://www.coursera.org/learn/instructional-design-foundations-applications ; Figma / UI for learning: https://www.mygreatlearning.com/academy/learn-for-free/courses/figma-for-ui-ux-design ; Course authoring basics: https://tinyurl.com/3xkdjntp ; PowerPoint: https://www.linkedin.com/learning/topics/powerpoint
Audio/Video Production Intern,Audio editing basics; Video editing (Premiere); Lighting & camera basics,Audio editing basics: https://alison.com/course/audio-editing-with-audacity?utm_source=chatgpt.com ; Video editing (Premiere): https://www.udemy.com/course/premiere-pro-101/ ; Lighting & camera basics: https://www.iphotography.com/free-photography-course/?utm_source=chatgpt.com
Mining Engineering Intern,Mining fundamentals; Surface mining basics; Safety / HSE basics; Data analysis (Excel),Mining fundamentals: https://www.coursera.org/learn/foundations-of-modern-mining?utm_source=chatgpt.com ; Surface mining basics: https://www.edumine.com/learners/free-courses/?utm_source=chatgpt.com ; Safety / HSE basics: https://www.coursera.org/courses?query=safety ; Data analysis (Excel): https://www.linkedin.com/learning/excel-essential-training
Metallurgy Lab Intern,Metallurgy fundamentals; Materials testing; Lab reporting; Quality control,Metallurgy fundamentals: https://tinyurl.com/4add9kan; Materials testing: https://onlinecourses.nptel.ac.in/noc24_te03/preview ; Lab reporting: https://tinyurl.com/su5t2tur ; Quality control: https://tinyurl.com/4dvzm357
Mine Automation / Data Intern,NPTEL Mine Automation courses; Python / SQL; Data visualization (Tableau),NPTEL Mine Automation courses: https://onlinecourses.nptel.ac.in/noc24_mm23/preview ; Python / SQL: https://www.coursera.org/specializations/python ; Data visualization (Tableau): https://www.mygreatlearning.com/academy/learn-for-free/courses/data-visualization-using-tableau
Process Engineering Intern (Oil & Gas),Process engineering basics; HSE / Safety basics; Fluid mechanics fundamentals; Excel,Process engineering basics: https://web.suvidya.ac.in/process-engineering.aspx ; HSE / Safety basics: https://www.coursera.org/courses?query=safety ; Fluid mechanics fundamentals: https://onlinecourses.nptel.ac.in/noc19_ce28/preview; Excel: https://www.linkedin.com/learning/excel-essential-training
Energy Data Intern,Python; SQL; Power BI / Tableau; Energy sector basics,Python: https://www.coursera.org/specializations/python ; SQL: https://www.coursera.org/learn/sql-for-data-science ; Power BI / Tableau: https://www.mygreatlearning.com/academy/learn-for-free/courses/data-visualization-using-tableau ; Energy sector basics: https://www.coursera.org/courses?query=energy
Operations Intern,Plant operations basics; Maintenance; Lean / Six Sigma basics; HSE / Safety basics,Plant operations basics: https://www.udemy.com/course/process-plant-operator-induction-course/?srsltid=AfmBOopsvjtYzqcKwUgdxCjG_lfe8-rHpPLpZvzED7k94ltGLYgfuRj- ; Maintenance: https://www.udemy.com/course/maintenance-management-basics/?srsltid=AfmBOoqeCjRrU7x-HjNV8I44NlYQYas688FaebfCK8Dimu-iOuYj6ag0 ; Lean / Six Sigma basics: https://www.coursera.org/courses?query=lean%20six%20sigma ; HSE / Safety basics: https://www.coursera.org/courses?query=safety
Pharma R&D Intern,Drug discovery basics; Laboratory techniques; Data analysis; Regulatory basics,Drug discovery basics: https://www.coursera.org/learn/drug-discovery/ ; Laboratory techniques: https://ignouadmission.samarth.edu.in/index.php/site/programme-detail?id=c1e8afb4a71e2a5093207ec7d36b40382e58886241d1eea7205d0277a1f1f4931057 ; Data analysis: https://www.coursera.org/courses?query=data%20analysis&productDifficultyLevel=Beginner ; Regulatory basics: https://www.coursera.org/courses?query=regulatory%20affairs
Quality Assurance Intern,GMP / Pharma manufacturing basics; Quality systems; Documentation practices; HSE / Safety basics,GMP / Pharma manufacturing basics: https://www.udemy.com/course/basic-good-manufacturing-practices-gmp/?srsltid=AfmBOoo_f36JkdyRmSvN3r9NzCq8QbdxfeABW9K1BeoNGbK5FCOt-jhK ; Quality systems: https://www.coursera.org/courses?query=quality%20management ; Documentation practices: https://www.pharmout.net/good-documentation-practices-gdocp-gmp/ ; HSE / Safety basics: https://www.coursera.org/courses?query=safety
Regulatory Affairs Intern,Regulatory frameworks; Documentation & submissions; Clinical trials awareness,Regulatory frameworks: https://www.coursera.org/courses?query=regulatory%20affairs ; Documentation & submissions: https://www.coursera.org/learn/writing-effective-technical-documentation-course ; Clinical trials awareness: https://www.bcri.in/advanced-diploma-in-clinical-research/?srsltid=AfmBOopTMP1LmWlCxTgeUdB61pb2ScC9OkzqD8ckWrNKeIqpKcBClRCm
Merchandising Intern,Merchandising basics; Excel; Retail math basics; Communication,Merchandising basics: https://www.coursera.org/learn/introduction-to-merchandising ; Excel: https://www.linkedin.com/learning/excel-essential-training ; Retail math basics: https://delta-assoc.com/courses/retail-math-excel/ ; Communication: https://www.coursera.org/courses?query=communication%20skills
E-commerce Intern,Digital Marketing; Google Analytics; Shopify basics / e-commerce platforms,Digital Marketing:https://www.udemy.com/course/learn-digital-marketing-course/?srsltid=AfmBOoqq6Cc_5oDHzRTAiQImJl4VDppYSpCZGkuCTR8jN3VvzYnKZ35h ; Google Analytics: https://grow.google/certificates/data-analytics/ ; Shopify basics / e-commerce platforms: https://grow.google/certificates/digital-marketing-ecommerce/
After-sales / Support Intern,Customer service basics; CRM basics; Process documentation,Customer service basics: https://www.coursera.org/learn/customer-service-fundamentals ; CRM basics: https://www.salesforce.com/eu/blog/the-basics-of-crm-for-dummies/ ; Process documentation: https://www.atlassian.com/work-management/knowledge-sharing/documentation/process-documentation
Sports Management Intern,Sports management basics; Event planning basics; Communication; Excel,Sports management basics: https://www.coursera.org/courses?query=sports%20management ; Event planning basics: https://www.coursera.org/courses?query=event%20management ; Communication: https://www.coursera.org/courses?query=communication%20skills ; Excel: https://www.linkedin.com/learning/excel-essential-training
Coaching Support Intern,Coaching basics; Sports science intro; Communication; Video analysis basics,Coaching basics: https://www.coursera.org/courses?query=coaching ; Sports science intro:https://onlinecourses.nptel.ac.in/noc25_hs156/preview ; Communication: https://www.coursera.org/courses?query=communication%20skills ; Video analysis basics: https://facit.ai/insights/video-analytics-guide
Sports Analytics Intern,Python; Statistics basics; Data Visualization (Tableau); SQL,Python: https://www.coursera.org/specializations/python ; Statistics basics:https://www.coursera.org/learn/basic-statistics ; Data Visualization (Tableau): https://www.mygreatlearning.com/academy/learn-for-free/courses/data-visualization-using-tableau; SQL: https://www.coursera.org/learn/sql-for-data-science
Network Engineer Intern,CCNA / Networking basics; Routing & switching fundamentals; Linux basics; Wireshark basics,CCNA / Networking basics: https://www.netacad.com/courses/networking-basics ; Routing & switching fundamentals: https://networklessons.com/routing-switching ; Linux basics: https://www.coursera.org/courses?query=linux ; Wireshark basics: https://www.coursera.org/projects/wireshark-for-beginners-capture-packets
Telecom Planning Intern,Telecommunications fundamentals; 4G/5G basics; Excel; Data analysis,Telecommunications fundamentals: https://www.coursera.org/courses?query=telecommunication; 4G/5G basics: https://www.coursera.org/learn/5g-network-fundamentals ; Excel: https://www.linkedin.com/learning/excel-essential-training ; Data analysis: https://www.coursera.org/learn/introduction-to-data-analytics
Field Operations Intern,Site survey basics; RF basics; Safety / HSE basics,Site survey basics: https://onlinecourses.nptel.ac.in/noc21_ce08/preview ; RF basics: https://www.anritsu.com/en-us/test-measurement/support/training-and-education/elearning/rf-fundamentals ; Safety / HSE basics: https://www.coursera.org/courses?query=safety
Textile Process Intern,Textile manufacturing basics; Materials & fibres; Quality control; Lean manufacturing basics,Textile manufacturing basics: https://www.coursera.org/learn/sustainable-textile-manufacturing ; Materials & fibres: https://onlinecourses.swayam2.ac.in/ntr25_ed111/preview ; Quality control: https://www.coursera.org/courses?query=quality%20control ; Lean manufacturing basics: https://tinyurl.com/4d6zvccd
Design & Pattern Intern,Textile CAD basics; Sketching & design; Fabrics knowledge,Textile CAD basics:https://www.admecindia.co.in/course/best-cad-textile-design-premium-course/ ; Sketching & design: https://www.coursera.org/courses?query=drawing ; Fabrics knowledge:https://www.hawthornintl.com/fabric-guide
Plant Operations Intern,Manufacturing processes; Maintenance basics; HSE / Safety basics,Manufacturing processes: https://www.coursera.org/courses?query=manufacturing ; Maintenance basics: https://www.udemy.com/course/maintenance-management-basics/?srsltid=AfmBOooRG3AQLQRkSHrxyggb-epouXxR0UtbnhvRfkT4QU4-mBwmP6Ul ; HSE / Safety basics: https://www.coursera.org/courses?query=safety
Hotel Operations Intern,Hospitality fundamentals (IHG / Alison); Customer service; Front office basics; PowerPoint/Excel,Hospitality fundamentals (IHG / Alison): https://tinyurl.com/wcpmwepf ; Customer service: https://www.coursera.org/courses?query=customer%20service ; Front office basics: https://www.coursera.org/learn/hotel-front-office-operations ; PowerPoint/Excel: https://www.linkedin.com/learning/excel-essential-training
Tourism Research Intern,Tourism basics; Market research; Report writing; Excel,Tourism basics: https://www.coursera.org/courses?query=tourism ; Market research: https://www.coursera.org/courses?query=market%20research ; Report writing: https://www.mygreatlearning.com/academy/learn-for-free/courses/writing-powerful-business-reports ; Excel: https://www.linkedin.com/learning/excel-essential-training
Revenue Management Intern,Revenue management basics; Excel (analysis & pivot tables); Distribution channels basics,Revenue management basics: https://www.coursera.org/learn/fundamentals-of-revenue-management/ ; Excel (analysis & pivot tables): https://www.linkedin.com/learning/excel-essential-training ; Distribution channels basics: https://onlinecourses.nptel.ac.in/noc20_mg13/preview
